"scenario","model","fdr_adj_mean","fdr_adj_sd","fdr_adj_lo95","fdr_adj_hi95","fdr_raw_mean","fdr_raw_sd","fdr_raw_lo95","fdr_raw_hi95","fpr_adj_mean","fpr_adj_sd","fpr_adj_lo95","fpr_adj_hi95","fpr_raw_mean","fpr_raw_sd","fpr_raw_lo95","fpr_raw_hi95","power_adj_mean","power_adj_sd","power_adj_lo95","power_adj_hi95","power_raw_mean","power_raw_sd","power_raw_lo95","power_raw_hi95","bias_mean","bias_sd","bias_lo95","bias_hi95","rmse_mean","rmse_sd","rmse_lo95","rmse_hi95","ci_coverage_mean","ci_coverage_sd","ci_coverage_lo95","ci_coverage_hi95","n_seeds"
"region_specific","seurat_blind",0.866375130068144,0.00437814115716812,0.857979133530657,0.87393800259675,0.884395851067884,0.00217429007033476,0.879292613710328,0.8886058353546,0.700844444444444,0.0222568437786255,0.661361111111111,0.742222222222222,0.8412,0.0144345684011748,0.809416666666667,0.867527777777778,0.972,0.0160356745147455,0.94,0.99775,0.9894,0.0134634804609525,0.96225,1,-0.866301218381689,0.048242129903318,-0.932204159328829,-0.776678768404613,0.907621277572884,0.0601697990598908,0.812192504790923,1.05292829010073,NA,NA,NA,NA,50
"region_specific","seurat_napari",0.866858818137179,0.00458675023344013,0.857442185650161,0.87452661757113,0.884277327438627,0.00246685085062007,0.879872544272274,0.889050428088399,0.691711111111111,0.0202008184552889,0.65125,0.72825,0.835511111111111,0.0149374440946106,0.811111111111111,0.863805555555555,0.9554,0.0188668806026187,0.93,0.9955,0.9838,0.0142699913476226,0.95,1,-0.866301218381689,0.048242129903318,-0.932204159328829,-0.776678768404613,0.907621277572884,0.0601697990598908,0.812192504790923,1.05292829010073,NA,NA,NA,NA,50
"region_specific","seurat_quint",0.866858818137179,0.00458675023344013,0.857442185650161,0.87452661757113,0.884277327438627,0.00246685085062007,0.879872544272274,0.889050428088399,0.691711111111111,0.0202008184552889,0.65125,0.72825,0.835511111111111,0.0149374440946106,0.811111111111111,0.863805555555555,0.9554,0.0188668806026187,0.93,0.9955,0.9838,0.0142699913476226,0.95,1,-0.866301218381689,0.048242129903318,-0.932204159328829,-0.776678768404613,0.907621277572884,0.0601697990598908,0.812192504790923,1.05292829010073,NA,NA,NA,NA,50
"region_specific","wilcoxon",0.867304284129708,0.00453043129655192,0.860259430050095,0.876444898579696,0.884356321928398,0.00247150610771441,0.879438059860734,0.889293064174063,0.695577777777778,0.0215867063409997,0.657777777777778,0.735666666666667,0.836688888888889,0.0153918990646157,0.8105,0.866777777777778,0.957,0.0190862703084105,0.92,0.99,0.9844,0.0131179888951417,0.96225,1,-0.866301218381689,0.048242129903318,-0.932204159328829,-0.776678768404613,0.907621277572884,0.0601697990598908,0.812192504790923,1.05292829010073,NA,NA,NA,NA,50
"region_specific","deseq2_pb",0.164237203395395,0.040290988548839,0.0918367346938776,0.231875,0.466701327738028,0.0284204753204291,0.403959627329193,0.520408163265306,0.0202674254075888,0.00613998225397605,0.0100050111358575,0.0318057413600892,0.0951597134696399,0.0108607397717555,0.0729722222222222,0.113725446428571,0.912555102040816,0.0305288114715027,0.86225,0.96,0.972179591836735,0.0203561786892536,0.94,1,-0.792958696213646,0.0338090488589624,-0.837375310712593,-0.709600372258319,0.852173776212336,0.0884155565474634,0.780884932970116,1.14423872827294,0.0162040816326531,0.0096632168177565,0,0.03775,50
"interaction","dream_blind",0.437854543023965,0.183559048480501,0.0375,0.798823051948052,0.633391777857134,0.060758349083071,0.528327294265208,0.727012159814708,0.0115156369129658,0.00922856750394688,0.00025,0.0378888888888889,0.100670256951894,0.0205057062869904,0.0669166666666667,0.135916666666667,0.1158,0.0498196748283246,0.02225,0.2,0.5118,0.0571317846415332,0.43,0.60775,-1.22565068613487,0.0219666174104287,-1.25664974195405,-1.18079413463014,1.23915228454112,0.0219802915069712,1.1953146242614,1.27024513345927,0,0,0,0,50
"interaction","dream_napari",0.405065494019718,0.162387970662268,0.0391304347826087,0.705392156862745,0.637628450468453,0.0639272366977636,0.517244680851064,0.752516233766234,0.00811410374033234,0.00639192803642201,0.00025,0.0254166666666667,0.0922675374408971,0.0193942368035629,0.0545833333333333,0.127888888888889,0.0942,0.0454945612358314,0.02,0.18,0.4598,0.0562606905940769,0.33125,0.54775,-1.24947417162114,0.0256257365145603,-1.28144604615045,-1.20270344248273,1.26332344735924,0.0251448109121549,1.21660863205167,1.29407154634262,0,0,0,0,50
"interaction","dream_quint",0.405065494019718,0.162387970662268,0.0391304347826087,0.705392156862745,0.637628450468453,0.0639272366977636,0.517244680851064,0.752516233766234,0.00811410374033234,0.00639192803642201,0.00025,0.0254166666666667,0.0922675374408971,0.0193942368035629,0.0545833333333333,0.127888888888889,0.0942,0.0454945612358314,0.02,0.18,0.4598,0.0562606905940769,0.33125,0.54775,-1.24947417162114,0.0256257365145603,-1.28144604615045,-1.20270344248273,1.26332344735924,0.0251448109121549,1.21660863205167,1.29407154634262,0,0,0,0,50
"interaction","dream_interaction",0.37452430285314,0.0947326711117459,0.152835723598435,0.493726330738481,0.588057290567847,0.053730930116606,0.456521739130435,0.65267807327506,0.0686844936728896,0.0247100480239199,0.0200050055617353,0.107277777777778,0.16044020266132,0.0311546336644211,0.0934371523915462,0.205555555555556,0.9784,0.0170664965977921,0.9345,1,0.9868,0.0130054933448469,0.96,1,-0.32264865461655,0.041836880989939,-0.374089060382926,-0.217591009121618,0.500896018118607,0.0470172030779841,0.407950743025727,0.596747769858744,0.5556,0.0577171144992752,0.449,0.67,50
"interaction","seurat_blind",0.872767886374592,0.00600687592408104,0.863296146044625,0.881985120486538,0.886673830219929,0.00333892514536789,0.881998186472618,0.893803434601425,0.691755555555556,0.0200981341477439,0.652722222222222,0.725916666666667,0.834133333333333,0.0148580924944098,0.808027777777778,0.857527777777778,0.9068,0.0319080311047171,0.85225,0.9655,0.9592,0.0223003614869575,0.91225,0.99775,-0.957768712003128,0.0491952641493273,-1.02666826508738,-0.866679060485814,0.99523000543652,0.0531234104187863,0.905417354191872,1.1080618433081,NA,NA,NA,NA,50
"interaction","seurat_napari",0.88112520187938,0.00698981607402022,0.867517640902811,0.894997806684896,0.890158203880251,0.00368324498230588,0.884394312510362,0.897752835920657,0.680577777777778,0.0205581477804118,0.640888888888889,0.713083333333333,0.83,0.0136507936507936,0.805194444444444,0.854805555555555,0.8258,0.044634113429446,0.73225,0.9,0.9216,0.0293020860161518,0.86225,0.97,-0.957768712003128,0.0491952641493273,-1.02666826508738,-0.866679060485814,0.99523000543652,0.0531234104187863,0.905417354191872,1.1080618433081,NA,NA,NA,NA,50
"interaction","seurat_quint",0.88112520187938,0.00698981607402022,0.867517640902811,0.894997806684896,0.890158203880251,0.00368324498230588,0.884394312510362,0.897752835920657,0.680577777777778,0.0205581477804118,0.640888888888889,0.713083333333333,0.83,0.0136507936507936,0.805194444444444,0.854805555555555,0.8258,0.044634113429446,0.73225,0.9,0.9216,0.0293020860161518,0.86225,0.97,-0.957768712003128,0.0491952641493273,-1.02666826508738,-0.866679060485814,0.99523000543652,0.0531234104187863,0.905417354191872,1.1080618433081,NA,NA,NA,NA,50
"interaction","wilcoxon",0.880108907617438,0.00748471356830248,0.867458827746232,0.894158392980836,0.889793039759864,0.00355462821211526,0.884028516286581,0.897521628648934,0.688955555555556,0.0197558925003596,0.65025,0.71975,0.833288888888889,0.0151418255280696,0.804944444444444,0.860361111111111,0.844,0.0466860989667663,0.75225,0.92,0.9286,0.025475878947806,0.88,0.97,-0.957768712003128,0.0491952641493273,-1.02666826508738,-0.866679060485814,0.99523000543652,0.0531234104187863,0.905417354191872,1.1080618433081,NA,NA,NA,NA,50
"interaction","deseq2_pb",0.168807994696135,0.0441899964805437,0.0820438218390805,0.24170758751782,0.475890899772271,0.0285271722220444,0.409557107251652,0.522757448186528,0.0190440640243421,0.00623232019595745,0.00778167532788914,0.0306917502787068,0.0946481564817781,0.0110472320515297,0.0718611111111111,0.112027901509527,0.8262,0.0447163395238045,0.73225,0.91,0.9314,0.0280677024062773,0.88,0.98,-0.880082843587508,0.0357100166706773,-0.929394184501378,-0.804758751301624,0.936000546000335,0.0717993963780851,0.865633509467231,1.13555618653926,0.0108,0.00899886614172778,0,0.03,50
