"fdr_adj","fdr_raw","fpr_adj","fpr_raw","power_adj","power_raw","bias","rmse","ci_coverage","n_genes_scored","n_true_de","scenario","seed","model"
1,1,0.568,0.76,NA,NA,NA,NA,NA,1000,0,"null","27","seurat_quint"
1,1,0.604,0.769,NA,NA,NA,NA,NA,1000,0,"null","27","wilcoxon"
NA,1,0,0.0760760760760761,NA,NA,NA,NA,NA,999,0,"null","27","deseq2_pb"
1,1,0.005,0.095,NA,NA,NA,NA,NA,1000,0,"null","28","dream_blind"
1,1,0.008,0.087,NA,NA,NA,NA,NA,1000,0,"null","28","dream_napari"
1,1,0.008,0.087,NA,NA,NA,NA,NA,1000,0,"null","28","dream_quint"
1,1,0.605,0.803,NA,NA,NA,NA,NA,1000,0,"null","28","seurat_blind"
1,1,0.601,0.765,NA,NA,NA,NA,NA,1000,0,"null","28","seurat_napari"
1,1,0.601,0.765,NA,NA,NA,NA,NA,1000,0,"null","28","seurat_quint"
1,1,0.622,0.812,NA,NA,NA,NA,NA,1000,0,"null","28","wilcoxon"
1,1,0.003,0.077,NA,NA,NA,NA,NA,1000,0,"null","28","deseq2_pb"
NA,1,0,0.108216432865731,NA,NA,NA,NA,NA,998,0,"null","29","dream_blind"
NA,1,0,0.0981963927855711,NA,NA,NA,NA,NA,998,0,"null","29","dream_napari"
NA,1,0,0.0981963927855711,NA,NA,NA,NA,NA,998,0,"null","29","dream_quint"
1,1,0.599,0.776,NA,NA,NA,NA,NA,1000,0,"null","29","seurat_blind"
1,1,0.588,0.769,NA,NA,NA,NA,NA,1000,0,"null","29","seurat_napari"
1,1,0.588,0.769,NA,NA,NA,NA,NA,1000,0,"null","29","seurat_quint"
1,1,0.612,0.786,NA,NA,NA,NA,NA,1000,0,"null","29","wilcoxon"
1,1,0.00400801603206413,0.102204408817635,NA,NA,NA,NA,NA,998,0,"null","29","deseq2_pb"
1,1,0.013,0.094,NA,NA,NA,NA,NA,1000,0,"null","3","dream_blind"
1,1,0.011,0.083,NA,NA,NA,NA,NA,1000,0,"null","3","dream_napari"
1,1,0.011,0.083,NA,NA,NA,NA,NA,1000,0,"null","3","dream_quint"
1,1,0.646,0.805,NA,NA,NA,NA,NA,1000,0,"null","3","seurat_blind"
1,1,0.642,0.783,NA,NA,NA,NA,NA,1000,0,"null","3","seurat_napari"
1,1,0.642,0.783,NA,NA,NA,NA,NA,1000,0,"null","3","seurat_quint"
1,1,0.655,0.822,NA,NA,NA,NA,NA,1000,0,"null","3","wilcoxon"
1,1,0.002002002002002,0.0980980980980981,NA,NA,NA,NA,NA,999,0,"null","3","deseq2_pb"
1,1,0.006,0.088,NA,NA,NA,NA,NA,1000,0,"null","30","dream_blind"
1,1,0.005,0.078,NA,NA,NA,NA,NA,1000,0,"null","30","dream_napari"
1,1,0.005,0.078,NA,NA,NA,NA,NA,1000,0,"null","30","dream_quint"
1,1,0.576,0.752,NA,NA,NA,NA,NA,1000,0,"null","30","seurat_blind"
1,1,0.577,0.743,NA,NA,NA,NA,NA,1000,0,"null","30","seurat_napari"
1,1,0.577,0.743,NA,NA,NA,NA,NA,1000,0,"null","30","seurat_quint"
1,1,0.599,0.769,NA,NA,NA,NA,NA,1000,0,"null","30","wilcoxon"
1,1,0.00501002004008016,0.0721442885771543,NA,NA,NA,NA,NA,998,0,"null","30","deseq2_pb"
1,1,0.007,0.08,NA,NA,NA,NA,NA,1000,0,"null","31","dream_blind"
1,1,0.004,0.079,NA,NA,NA,NA,NA,1000,0,"null","31","dream_napari"
1,1,0.004,0.079,NA,NA,NA,NA,NA,1000,0,"null","31","dream_quint"
1,1,0.586,0.777,NA,NA,NA,NA,NA,1000,0,"null","31","seurat_blind"
1,1,0.569,0.759,NA,NA,NA,NA,NA,1000,0,"null","31","seurat_napari"
1,1,0.569,0.759,NA,NA,NA,NA,NA,1000,0,"null","31","seurat_quint"
1,1,0.597,0.785,NA,NA,NA,NA,NA,1000,0,"null","31","wilcoxon"
