"scenario","model","fdr_adj_mean","fdr_adj_sd","fdr_adj_lo95","fdr_adj_hi95","fdr_raw_mean","fdr_raw_sd","fdr_raw_lo95","fdr_raw_hi95","fpr_adj_mean","fpr_adj_sd","fpr_adj_lo95","fpr_adj_hi95","fpr_raw_mean","fpr_raw_sd","fpr_raw_lo95","fpr_raw_hi95","power_adj_mean","power_adj_sd","power_adj_lo95","power_adj_hi95","power_raw_mean","power_raw_sd","power_raw_lo95","power_raw_hi95","bias_mean","bias_sd","bias_lo95","bias_hi95","rmse_mean","rmse_sd","rmse_lo95","rmse_hi95","ci_coverage_mean","ci_coverage_sd","ci_coverage_lo95","ci_coverage_hi95","n_seeds"
"region_specific","seurat_blind",0.854519005055942,0.00570904353285336,0.843599683544304,0.864537925360159,0.879927062069197,0.00297563621570924,0.87291847843592,0.884472894529713,0.627755555555556,0.022311035675763,0.591361111111111,0.661972222222222,0.8026,0.0187161771867485,0.761361111111111,0.830722222222222,0.9608,0.0209800682864981,0.91225,0.99,0.9852,0.0112920416259254,0.96225,1,-0.886931350634689,0.0605656365849957,-1.01451421027097,-0.780901806350676,0.932486871436986,0.0619034969598191,0.828631374322364,1.05562397794912,NA,NA,NA,NA,50
"region_specific","seurat_napari",0.853852104107797,0.00729037301830995,0.841184245080069,0.866838028806957,0.878374280589961,0.00364583635235519,0.871494553529453,0.885417495438895,0.598288888888889,0.0219830783086082,0.57,0.63975,0.774733333333333,0.0182253882543533,0.742472222222222,0.812583333333333,0.9206,0.0347239845357761,0.86,0.98,0.965,0.0200254939555374,0.93,0.99775,-0.886931350634689,0.0605656365849957,-1.01451421027097,-0.780901806350676,0.932486871436986,0.0619034969598191,0.828631374322364,1.05562397794912,NA,NA,NA,NA,50
"region_specific","seurat_quint",0.853852104107797,0.00729037301830995,0.841184245080069,0.866838028806957,0.878374280589961,0.00364583635235519,0.871494553529453,0.885417495438895,0.598288888888889,0.0219830783086082,0.57,0.63975,0.774733333333333,0.0182253882543533,0.742472222222222,0.812583333333333,0.9206,0.0347239845357761,0.86,0.98,0.965,0.0200254939555374,0.93,0.99775,-0.886931350634689,0.0605656365849957,-1.01451421027097,-0.780901806350676,0.932486871436986,0.0619034969598191,0.828631374322364,1.05562397794912,NA,NA,NA,NA,50
"region_specific","wilcoxon",0.858908300695073,0.00632427692042758,0.8447110982515,0.869652343942152,0.881602106749392,0.00310225972672438,0.874171613079413,0.885827053593715,0.633266666666667,0.021975283305151,0.595583333333333,0.670361111111111,0.803644444444444,0.016512575660716,0.764222222222222,0.829,0.9352,0.0280116593800597,0.88225,0.99,0.971,0.0179852547314488,0.94,1,-0.886931350634689,0.0605656365849957,-1.01451421027097,-0.780901806350676,0.932486871436986,0.0619034969598191,0.828631374322364,1.05562397794912,NA,NA,NA,NA,50
"region_specific","deseq2_pb",0.170099366902835,0.0413730987164457,0.0961483253588517,0.244600223009314,0.462308693357073,0.0249606486221105,0.404907975460123,0.496708596894767,0.0201762151605958,0.00622744706325298,0.0102759197324415,0.0339741379310345,0.0912564350457531,0.0091982382190579,0.0734333000537593,0.103563474387528,0.8704,0.035683415229613,0.81,0.9455,0.95,0.0212852348939305,0.92,0.98775,-0.841300720101247,0.0386173788341601,-0.88347289684881,-0.735961029564923,0.925096511138035,0.123240222097325,0.837791806748603,1.26585657677029,0.0128,0.0094846815272559,0,0.03775,50
"interaction","dream_blind",0.561724046548899,0.168065592020505,0.25,0.841156126482213,0.709678111225581,0.0507738125483458,0.620520581113801,0.80760736196319,0.00975674205907799,0.00924271175435938,0.00111234705228031,0.0398333333333333,0.10530876282289,0.0188396200650436,0.0785277777777778,0.146166666666667,0.0538,0.0283484153536176,0.02,0.12325,0.38,0.0489481191400338,0.2945,0.45775,-1.28995916825405,0.0199569624747673,-1.32374899833149,-1.25608661914329,1.30202040462695,0.0199047531398796,1.2676224780975,1.33598760956038,0,0,0,0,50
"interaction","dream_napari",0.545507961508735,0.267558512522697,0,0.973214285714286,0.743068759870768,0.0500118981591164,0.670634385829804,0.854409303882195,0.00671527804350656,0.00850430023830174,0,0.0332016747002843,0.0906003839935915,0.018282038119787,0.0675492566598373,0.134027777777778,0.0308,0.0200855313952251,0.00225,0.06,0.2756,0.0463421173095781,0.20225,0.34,-1.34778175943811,0.0246794519993346,-1.41404382963536,-1.31183022054854,1.35863321239776,0.0244439797169413,1.32314141563864,1.42392208280823,0,0,0,0,50
"interaction","dream_quint",0.545507961508735,0.267558512522697,0,0.973214285714286,0.743068759870768,0.0500118981591164,0.670634385829804,0.854409303882195,0.00671527804350656,0.00850430023830174,0,0.0332016747002843,0.0906003839935915,0.018282038119787,0.0675492566598373,0.134027777777778,0.0308,0.0200855313952251,0.00225,0.06,0.2756,0.0463421173095781,0.20225,0.34,-1.34778175943811,0.0246794519993346,-1.41404382963536,-1.31183022054854,1.35863321239776,0.0244439797169413,1.32314141563864,1.42392208280823,0,0,0,0,50
"interaction","dream_interaction",0.372031307417754,0.0982786759552444,0.162789082575179,0.509490844404638,0.590548037686311,0.0548564788601226,0.453551912568306,0.660190233495318,0.0686535918031406,0.0264147271900216,0.0216940682217206,0.111972222222222,0.162679390246102,0.0317123642363105,0.0925501003260597,0.213194444444444,0.9812,0.0162430518897736,0.94,1,0.9884,0.0133033676877975,0.95225,1,-0.332051421781565,0.0407776247307876,-0.40446303635245,-0.240129563790955,0.508840473060957,0.0483027090382659,0.417623853285475,0.593730721351636,0.5598,0.0532414599839682,0.46675,0.6655,50
"interaction","seurat_blind",0.862847413633349,0.00712883855516021,0.849052648448566,0.875313224097981,0.883436071915413,0.00386575116870951,0.876069058645785,0.889696477344779,0.617311111111111,0.0191466868158485,0.582722222222222,0.650861111111111,0.795288888888889,0.0176177033664233,0.757666666666667,0.823555555555556,0.8824,0.0385216610149009,0.79675,0.94,0.944,0.0249079939630895,0.89225,0.98,-0.987418168525399,0.0602189305028581,-1.10181939707167,-0.879523891185746,1.0327506670592,0.0634802503197377,0.925914548241552,1.17468868779699,NA,NA,NA,NA,50
"interaction","seurat_napari",0.875854496698033,0.00930379176981687,0.85956447441767,0.892377589645488,0.8868205445268,0.00536609549416244,0.877608389201782,0.896415886079376,0.589222222222222,0.0189018896169392,0.555194444444444,0.625416666666667,0.767533333333333,0.0172122200492099,0.736194444444444,0.800861111111111,0.7512,0.0549077147845104,0.66225,0.84,0.8814,0.041943110158832,0.82,0.95775,-0.987418168525399,0.0602189305028581,-1.10181939707167,-0.879523891185746,1.0327506670592,0.0634802503197377,0.925914548241552,1.17468868779699,NA,NA,NA,NA,50
"interaction","seurat_quint",0.875854496698033,0.00930379176981687,0.85956447441767,0.892377589645488,0.8868205445268,0.00536609549416244,0.877608389201782,0.896415886079376,0.589222222222222,0.0189018896169392,0.555194444444444,0.625416666666667,0.767533333333333,0.0172122200492099,0.736194444444444,0.800861111111111,0.7512,0.0549077147845104,0.66225,0.84,0.8814,0.041943110158832,0.82,0.95775,-0.987418168525399,0.0602189305028581,-1.10181939707167,-0.879523891185746,1.0327506670592,0.0634802503197377,0.925914548241552,1.17468868779699,NA,NA,NA,NA,50
"interaction","wilcoxon",0.878333709711324,0.00833497803995807,0.864724659449547,0.892960531142249,0.889278292688215,0.00434933770189219,0.881176591496359,0.897095089000374,0.6276,0.0200721299468862,0.59175,0.664194444444444,0.801377777777778,0.0166274065181034,0.761888888888889,0.821111111111111,0.7818,0.0493504750509567,0.68225,0.86775,0.8978,0.0348343016497901,0.8345,0.96,-0.987418168525399,0.0602189305028581,-1.10181939707167,-0.879523891185746,1.0327506670592,0.0634802503197377,0.925914548241552,1.17468868779699,NA,NA,NA,NA,50
"interaction","deseq2_pb",0.177994217433244,0.046351212638407,0.104867535744323,0.271081697054698,0.478276335302128,0.0253418899501788,0.425676937441643,0.5167705889616,0.0183297172366913,0.00622443808899177,0.010022271714922,0.0323620689655172,0.0909673485167515,0.00964744448208168,0.0726152356862735,0.104246226181638,0.7466,0.0583658412821355,0.65,0.861,0.888,0.0346998794328318,0.83,0.9655,-0.938365698296023,0.039777713998201,-0.983885273632681,-0.83228483727004,1.02249804259914,0.11823729182194,0.93066242798556,1.34698092533526,0.0086,0.0101035455486211,0,0.03,50
